Ref,Val,Package,PosX,PosY,Rot,Side
R206,5.1kΩ,R_0402,197.059521,-74.318458,180.000000,bottom
R207,27Ω,R_0402,207.420000,-78.840000,180.000000,bottom
R208,27Ω,R_0402,207.420000,-77.890000,180.000000,bottom
R210,10kΩ,R_0402,191.770953,-71.470648,90.000000,bottom
R211,10kΩ,R_0402,191.653105,-69.271569,-90.000000,bottom
R215,470Ω,R_0402,194.810750,-124.193269,45.000000,bottom
R216,120Ω,R_0402,203.580000,-94.280000,90.000000,bottom
SW1,BOOT,SW_Push_1P1T_XUNPU_TS-1088-AR02016,135.434131,-149.327809,0.000000,bottom
SW2,RESET,SW_Push_1P1T_XUNPU_TS-1088-AR02016,143.274847,-148.958973,0.000000,bottom
SW201,BOOT,SW_Push_1P1T_XUNPU_TS-1088-AR02016,206.190000,-96.930000,180.000000,bottom
SW202,RESET,SW_Push_1P1T_XUNPU_TS-1088-AR02016,190.590000,-84.510000,-90.000000,bottom
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,166.000000,-84.000000,180.000000,bottom
U2,USBLC6-2P6,SOT-563_USBLC6-2P6,166.700000,-93.602500,0.000000,bottom
U3,ZD25Q128CWIGR,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm,173.500000,-78.250000,180.000000,bottom
U4,USBLC6-2P6,SOT-563_USBLC6-2P6,168.270000,-72.590000,90.000000,bottom
U5,AP2112K-3.3,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,161.500000,-100.500000,0.000000,bottom
U6,SN74LV1T34DBVR,SOT-23-5,175.812618,-123.517712,180.000000,bottom
U201,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,199.500000,-79.500000,90.000000,bottom
U202,USBLC6-2P6,SOT-563_USBLC6-2P6,200.300000,-93.602500,180.000000,bottom
U203,ZD25Q128CWIGR,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm,205.250000,-87.000000,90.000000,bottom
U204,USBLC6-2P6,SOT-563_USBLC6-2P6,198.730000,-72.590000,90.000000,bottom
